SNID,filename,Telescope,Instrument,Filter
2003du,hst_12880_65_wfc3_ir_f160w_drz.fits,HST,WFC3,F160W
2003du,hst_12880_61_wfc3_ir_f160w_drz.fits,HST,WFC3,F160W
2003du,hst_12880_66_wfc3_ir_f160w_drz.fits,HST,WFC3,F160W
2003du,hst_12880_62_wfc3_ir_f160w_drz.fits,HST,WFC3,F160W
2003du,hst_12880_68_wfc3_ir_f160w_drz.fits,HST,WFC3,F160W
2003du,ie5403060_drz.fits,HST,WFC3,F105W
2003du,hst_15889_03_wfc3_ir_total_ie5403_drz.fits,HST,WFC3,detection
2003du,ic1359020_drz.fits,HST,WFC3,F160W
2003du,ic1369020_drz.fits,HST,WFC3,F160W
2003du,hst_12880_93_wfc3_ir_f160w_ic1393_drz.fits,HST,WFC3,F160W
2003du,hst_12880_62_wfc3_ir_total_ic1362_drz.fits,HST,WFC3,detection
2003du,hst_12880_60_wfc3_ir_f160w_ic1360_drz.fits,HST,WFC3,F160W
2003du,hst_15889_03_wfc3_ir_f125w_ie5403_drz.fits,HST,WFC3,F125W
2003du,ic1368020_drz.fits,HST,WFC3,F160W
2003du,hst_12880_60_wfc3_ir_total_ic1360_drz.fits,HST,WFC3,detection
2003du,hst_12880_62_wfc3_ir_f160w_ic1362_drz.fits,HST,WFC3,F160W
2003du,hst_skycell-p2434x05y17_wfc3_ir_f140w_coarse-all_drz.fits,HST,WFC3,F140W
2003du,hst_12880_93_wfc3_ir_total_ic1393_drz.fits,HST,WFC3,detection
2003du,hst_skycell-p2434x05y17_wfc3_ir_f160w_all_drz.fits,HST,WFC3,F160W
2003du,hst_15889_03_wfc3_ir_f160w_ie5403_drz.fits,HST,WFC3,F160W
2003du,hst_skycell-p2434x05y17_wfc3_ir_f140w_all_drz.fits,HST,WFC3,F140W
2003du,hst_skycell-p2434x05y17_wfc3_ir_f125w_coarse-all_drz.fits,HST,WFC3,F125W
2003du,hst_12880_70_wfc3_ir_total_ic1370_drz.fits,HST,WFC3,detection
2003du,hst_12880_61_wfc3_ir_f160w_ic1361_drz.fits,HST,WFC3,F160W
2003du,hst_12880_63_wfc3_ir_total_ic1363_drz.fits,HST,WFC3,detection
2003du,ic1363020_drz.fits,HST,WFC3,F160W
2003du,hst_12880_59_wfc3_ir_f160w_ic1359_drz.fits,HST,WFC3,F160W
2003du,ie5403010_drz.fits,HST,WFC3,F160W
2003du,hst_12880_63_wfc3_ir_f160w_ic1363_drz.fits,HST,WFC3,F160W
2003du,hst_12880_61_wfc3_ir_total_ic1361_drz.fits,HST,WFC3,detection
2003du,ic1362020_drz.fits,HST,WFC3,F160W
2003du,hst_12880_59_wfc3_ir_total_ic1359_drz.fits,HST,WFC3,detection
2003du,hst_12880_70_wfc3_ir_f160w_ic1370_drz.fits,HST,WFC3,F160W
2003du,ic1366020_drz.fits,HST,WFC3,F160W
2003du,hst_12880_68_wfc3_ir_total_ic1368_drz.fits,HST,WFC3,detection
2003du,hst_15889_03_wfc3_ir_f140w_ie5403_drz.fits,HST,WFC3,F140W
2003du,ic1361020_drz.fits,HST,WFC3,F160W
2003du,hst_12880_65_wfc3_ir_f160w_ic1365_drz.fits,HST,WFC3,F160W
2003du,ic1365020_drz.fits,HST,WFC3,F160W
2003du,hst_skycell-p2434x05y17_wfc3_ir_f105w_all_drz.fits,HST,WFC3,F105W
2003du,hst_15889_03_wfc3_ir_f105w_ie5403_drz.fits,HST,WFC3,F105W
2003du,hst_skycell-p2434x05y17_wfc3_ir_f125w_all_drz.fits,HST,WFC3,F125W
2003du,ic1370020_drz.fits,HST,WFC3,F160W
2003du,hst_12880_68_wfc3_ir_f160w_ic1368_drz.fits,HST,WFC3,F160W
2003du,ic1360020_drz.fits,HST,WFC3,F160W
2003du,ic1393020_drz.fits,HST,WFC3,F160W
2003du,hst_12880_65_wfc3_ir_total_ic1365_drz.fits,HST,WFC3,detection
2003du,hst_12880_69_wfc3_ir_total_ic1369_drz.fits,HST,WFC3,detection
2003du,hst_skycell-p2434x05y17_wfc3_ir_f160w_coarse-all_drz.fits,HST,WFC3,F160W
2003du,hst_12880_66_wfc3_ir_total_ic1366_drz.fits,HST,WFC3,detection
2003du,hst_skycell-p2434x05y17_wfc3_ir_f105w_coarse-all_drz.fits,HST,WFC3,F105W
2003du,ie5403040_drz.fits,HST,WFC3,F140W
2003du,hst_12880_69_wfc3_ir_f160w_ic1369_drz.fits,HST,WFC3,F160W
2003du,ie5403070_drz.fits,HST,WFC3,F125W
2003du,hst_12880_66_wfc3_ir_f160w_ic1366_drz.fits,HST,WFC3,F160W
2006ef,hst_14654_10_wfc3_ir_total_id9210_drz.fits,HST,WFC3,detection
2006ef,hst_14654_10_wfc3_ir_f110w_id9210_drz.fits,HST,WFC3,F110W
2006ef,id9210010_drz.fits,HST,WFC3,F110W
2006ef,hst_skycell-p1062x16y16_wfc3_ir_f110w_all_drz.fits,HST,WFC3,F110W
2006ef,hst_skycell-p1062x16y16_wfc3_ir_f110w_coarse-all_drz.fits,HST,WFC3,F110W
2002de,HST_7328_22_NIC_NIC1_F160W_drz.fits,HST,NICMOS,F160W
2002de,n44b22010_mos.fits,HST,NICMOS,F160W
2002de,n44b22030_mos.fits,HST,NICMOS,F160W
2006bh,hst_15640_35_wfc3_ir_total_idxb35_drz.fits,HST,WFC3,detection
2006bh,hst_15640_37_wfc3_ir_f160w_idxb37_drz.fits,HST,WFC3,F160W
2006bh,hst_15640_38_wfc3_ir_f160w_idxb38_drz.fits,HST,WFC3,F160W
2006bh,hst_15640_37_wfc3_ir_total_idxb37_drz.fits,HST,WFC3,detection
2006bh,hst_15640_35_wfc3_ir_f160w_idxb35_drz.fits,HST,WFC3,F160W
2006bh,hst_skycell-p0143x14y09_wfc3_ir_f160w_coarse-all_drz.fits,HST,WFC3,F160W
2006bh,idxb33puq_drz.fits,HST,WFC3,F160W
2006bh,hst_15640_38_wfc3_ir_total_idxb38_drz.fits,HST,WFC3,detection
2006bh,hst_15640_36_wfc3_ir_f160w_idxb36_drz.fits,HST,WFC3,F160W
2006bh,hst_15640_39_wfc3_ir_f160w_idxb39_drz.fits,HST,WFC3,F160W
2006bh,hst_15640_ab_wfc3_ir_total_idxbab_drz.fits,HST,WFC3,detection
2006bh,hst_skycell-p0143x13y09_wfc3_ir_f160w_all_drz.fits,HST,WFC3,F160W
2006bh,idxb31030_drz.fits,HST,WFC3,F160W
2006bh,hst_15640_ab_wfc3_ir_f160w_idxbab_drz.fits,HST,WFC3,F160W
2006bh,idxb35030_drz.fits,HST,WFC3,F160W
2006bh,hst_15640_36_wfc3_ir_total_idxb36_drz.fits,HST,WFC3,detection
2006bh,hst_15640_39_wfc3_ir_total_idxb39_drz.fits,HST,WFC3,detection
2006bh,hst_skycell-p0143x13y09_wfc3_ir_f160w_coarse-all_drz.fits,HST,WFC3,F160W
2006bh,idxb32030_drz.fits,HST,WFC3,F160W
2006bh,hst_15640_a4_wfc3_ir_f160w_idxba4_drz.fits,HST,WFC3,F160W
2006bh,idxba4020_drz.fits,HST,WFC3,F160W
2006bh,idxb36030_drz.fits,HST,WFC3,F160W
2006bh,hst_15640_32_wfc3_ir_f160w_idxb32_drz.fits,HST,WFC3,F160W
2006bh,idxb37030_drz.fits,HST,WFC3,F160W
2006bh,hst_15640_32_wfc3_ir_total_idxb32_drz.fits,HST,WFC3,detection
2006bh,hst_15640_a4_wfc3_ir_total_idxba4_drz.fits,HST,WFC3,detection
2006bh,idxbab020_drz.fits,HST,WFC3,F160W
2006bh,idxb38030_drz.fits,HST,WFC3,F160W
2006bh,hst_15640_3a_wfc3_ir_total_idxb3a_drz.fits,HST,WFC3,detection
2006bh,hst_15640_31_wfc3_ir_total_idxb31_drz.fits,HST,WFC3,detection
2006bh,hst_15640_33_wfc3_ir_f160w_idxb33_drz.fits,HST,WFC3,F160W
2006bh,hst_15640_3a_wfc3_ir_f160w_idxb3a_drz.fits,HST,WFC3,F160W
2006bh,hst_15640_33_wfc3_ir_total_idxb33_drz.fits,HST,WFC3,detection
2006bh,hst_15640_31_wfc3_ir_f160w_idxb31_drz.fits,HST,WFC3,F160W
2006bh,idxb3aayq_drz.fits,HST,WFC3,F160W
2006bh,hst_skycell-p0143x14y09_wfc3_ir_f160w_all_drz.fits,HST,WFC3,F160W
2006bh,idxb39030_drz.fits,HST,WFC3,F160W
2006dd,hst_11691_03_wfc3_ir_f160w_drz.fits,HST,WFC3,F160W
2006dd,hst_11691_03_wfc3_ir_f110w_drz.fits,HST,WFC3,F110W
2006dd,hst_13691_32_wfc3_ir_f160w_icnw32_drz.fits,HST,WFC3,F160W
2006dd,hst_13691_32_wfc3_ir_total_icnw32_drz.fits,HST,WFC3,detection
2006dd,ib3n03030_drz.fits,HST,WFC3,F110W
2006dd,n4b707010_mos.fits,HST,NICMOS,F110W
2006dd,hst_11691_03_wfc3_ir_f160w_ib3n03_drz.fits,HST,WFC3,F160W
2006dd,n4b707030_mos.fits,HST,NICMOS,F160W
2006dd,hst_13691_37_wfc3_ir_total_icnw37_drz.fits,HST,WFC3,detection
2006dd,hst_skycell-p0497x09y14_wfc3_ir_f110w_all_drz.fits,HST,WFC3,F110W
2006dd,hst_11691_03_wfc3_ir_total_ib3n03_drz.fits,HST,WFC3,detection
2006dd,hst_skycell-p0497x09y14_wfc3_ir_f160w_coarse-all_drz.fits,HST,WFC3,F160W
2006dd,ib3n03050_drz.fits,HST,WFC3,F160W
2006dd,hst_skycell-p0497x09y14_wfc3_ir_f110w_coarse-all_drz.fits,HST,WFC3,F110W
2006dd,hst_13691_36_wfc3_ir_f160w_icnw36_drz.fits,HST,WFC3,F160W
2006dd,hst_skycell-p0497x09y14_wfc3_ir_f160w_all_drz.fits,HST,WFC3,F160W
2006dd,ib3n03060_drz.fits,HST,WFC3,F110W
2006dd,hst_11691_03_wfc3_ir_f110w_ib3n03_drz.fits,HST,WFC3,F110W
2006dd,hst_13691_36_wfc3_ir_total_icnw36_drz.fits,HST,WFC3,detection
2006dd,hst_13691_37_wfc3_ir_f110w_icnw37_drz.fits,HST,WFC3,F110W
2006dd,n4b707070_mos.fits,HST,NICMOS,F110M
2006bz,hst_13352_d0_wfc3_ir_f160w_icdxd0_drz.fits,HST,WFC3,F160W
2006bz,hst_14182_10_wfc3_ir_f160w_icwr10_drz.fits,HST,WFC3,F160W
2006bz,hst_14182_12_wfc3_ir_total_icwr12_drz.fits,HST,WFC3,detection
2006bz,hst_14182_03_wfc3_ir_f160w_icwr03_drz.fits,HST,WFC3,F160W
2006bz,hst_14182_01_wfc3_ir_total_icwr01_drz.fits,HST,WFC3,detection
2006bz,hst_skycell-p1892x03y19_wfc3_ir_f160w_coarse-all_drz.fits,HST,WFC3,F160W
2006bz,hst_14182_01_wfc3_ir_f160w_icwr01_drz.fits,HST,WFC3,F160W
2006bz,hst_14182_03_wfc3_ir_total_icwr03_drz.fits,HST,WFC3,detection
2006bz,hst_13352_d0_wfc3_ir_total_icdxd0_drz.fits,HST,WFC3,detection
2006bz,hst_14182_12_wfc3_ir_f160w_icwr12_drz.fits,HST,WFC3,F160W
2006bz,hst_14182_10_wfc3_ir_total_icwr10_drz.fits,HST,WFC3,detection
2006bz,hst_13352_d1_wfc3_ir_f160w_icdxd1_drz.fits,HST,WFC3,F160W
2006bz,hst_14182_13_wfc3_ir_total_icwr13_drz.fits,HST,WFC3,detection
2006bz,hst_11711_02_wfc3_ir_f160w_ib2i02_drz.fits,HST,WFC3,F160W
2006bz,hst_14182_11_wfc3_ir_f160w_icwr11_drz.fits,HST,WFC3,F160W
2006bz,hst_14182_02_wfc3_ir_f160w_icwr02_drz.fits,HST,WFC3,F160W
2006bz,hst_14182_02_wfc3_ir_total_icwr02_drz.fits,HST,WFC3,detection
2006bz,hst_13352_d1_wfc3_ir_total_icdxd1_drz.fits,HST,WFC3,detection
2006bz,hst_skycell-p1892x03y19_wfc3_ir_f160w_all_drz.fits,HST,WFC3,F160W
2006bz,hst_11711_02_wfc3_ir_total_ib2i02_drz.fits,HST,WFC3,detection
2006bz,hst_14182_11_wfc3_ir_total_icwr11_drz.fits,HST,WFC3,detection
2006bz,hst_14182_13_wfc3_ir_f160w_icwr13_drz.fits,HST,WFC3,F160W
2006bz,hst_14182_09_wfc3_ir_f160w_icwr09_drz.fits,HST,WFC3,F160W
2006bz,hst_13352_cy_wfc3_ir_f160w_icdxcy_drz.fits,HST,WFC3,F160W
2006bz,hst_skycell-p1973x14y02_wfc3_ir_f160w_coarse-all_drz.fits,HST,WFC3,F160W
2006bz,hst_14182_04_wfc3_ir_total_icwr04_drz.fits,HST,WFC3,detection
2006bz,hst_14182_06_wfc3_ir_f160w_icwr06_drz.fits,HST,WFC3,F160W
2006bz,hst_skycell-p1892x04y19_wfc3_ir_f160w_coarse-all_drz.fits,HST,WFC3,F160W
2006bz,hst_14182_17_wfc3_ir_total_icwr17_drz.fits,HST,WFC3,detection
2006bz,icwr08050_drz.fits,HST,WFC3,F160W
2006bz,hst_skycell-p1973x14y02_wfc3_ir_f160w_all_drz.fits,HST,WFC3,F160W
2006bz,hst_14182_15_wfc3_ir_f160w_icwr15_drz.fits,HST,WFC3,F160W
2006bz,hst_14182_15_wfc3_ir_total_icwr15_drz.fits,HST,WFC3,detection
2006bz,hst_14182_17_wfc3_ir_f160w_icwr17_drz.fits,HST,WFC3,F160W
2006bz,hst_14182_09_wfc3_ir_total_icwr09_drz.fits,HST,WFC3,detection
2006bz,hst_13352_cy_wfc3_ir_total_icdxcy_drz.fits,HST,WFC3,detection
2006bz,hst_skycell-p1973x14y03_wfc3_ir_f160w_all_drz.fits,HST,WFC3,F160W
2006bz,hst_14182_06_wfc3_ir_total_icwr06_drz.fits,HST,WFC3,detection
2006bz,hst_14182_04_wfc3_ir_f160w_icwr04_drz.fits,HST,WFC3,F160W
2006bz,hst_14182_59_wfc3_ir_f160w_icwr59_drz.fits,HST,WFC3,F160W
2006bz,hst_14182_08_wfc3_ir_f160w_icwr08_drz.fits,HST,WFC3,F160W
2006bz,hst_14182_05_wfc3_ir_total_icwr05_drz.fits,HST,WFC3,detection
2006bz,hst_skycell-p1892x04y19_wfc3_ir_f160w_all_drz.fits,HST,WFC3,F160W
2006bz,hst_14182_16_wfc3_ir_total_icwr16_drz.fits,HST,WFC3,detection
2006bz,hst_skycell-p1973x14y03_wfc3_ir_f160w_coarse-all_drz.fits,HST,WFC3,F160W
2006bz,hst_14182_16_wfc3_ir_f160w_icwr16_drz.fits,HST,WFC3,F160W
2006bz,hst_14182_08_wfc3_ir_total_icwr08_drz.fits,HST,WFC3,detection
2006bz,hst_14182_59_wfc3_ir_total_icwr59_drz.fits,HST,WFC3,detection
2006bz,hst_14182_05_wfc3_ir_f160w_icwr05_drz.fits,HST,WFC3,F160W
2002dp,hst_15640_4b_wfc3_ir_f160w_idxb4b_drz.fits,HST,WFC3,F160W
2002dp,hst_15640_42_wfc3_ir_f160w_idxb42_drz.fits,HST,WFC3,F160W
2002dp,hst_15640_4b_wfc3_ir_total_idxb4b_drz.fits,HST,WFC3,detection
2002dp,hst_15640_42_wfc3_ir_total_idxb42_drz.fits,HST,WFC3,detection
2002dp,hst_skycell-p1846x08y13_wfc3_ir_f160w_coarse-all_drz.fits,HST,WFC3,F160W
2002dp,idxb41030_drz.fits,HST,WFC3,F160W
2002dp,idxb4b030_drz.fits,HST,WFC3,F160W
2002dp,idxb4abiq_drz.fits,HST,WFC3,F160W
2002dp,hst_15640_4a_wfc3_ir_total_idxb4a_drz.fits,HST,WFC3,detection
2002dp,hst_15640_41_wfc3_ir_total_idxb41_drz.fits,HST,WFC3,detection
2002dp,hst_15640_43_wfc3_ir_f160w_idxb43_drz.fits,HST,WFC3,F160W
2002dp,idxb45030_drz.fits,HST,WFC3,F160W
2002dp,hst_15640_4a_wfc3_ir_f160w_idxb4a_drz.fits,HST,WFC3,F160W
2002dp,hst_15640_43_wfc3_ir_total_idxb43_drz.fits,HST,WFC3,detection
2002dp,idxb44030_drz.fits,HST,WFC3,F160W
2002dp,hst_15640_41_wfc3_ir_f160w_idxb41_drz.fits,HST,WFC3,F160W
2002dp,hst_15640_48_wfc3_ir_f160w_idxb48_drz.fits,HST,WFC3,F160W
2002dp,idxb43ewq_drz.fits,HST,WFC3,F160W
2002dp,hst_15640_45_wfc3_ir_total_idxb45_drz.fits,HST,WFC3,detection
2002dp,hst_15640_47_wfc3_ir_f160w_idxb47_drz.fits,HST,WFC3,F160W
2002dp,idxb47030_drz.fits,HST,WFC3,F160W
2002dp,idxb42030_drz.fits,HST,WFC3,F160W
2002dp,hst_15640_48_wfc3_ir_total_idxb48_drz.fits,HST,WFC3,detection
2002dp,hst_15640_47_wfc3_ir_total_idxb47_drz.fits,HST,WFC3,detection
2002dp,hst_15640_45_wfc3_ir_f160w_idxb45_drz.fits,HST,WFC3,F160W
2002dp,idxb46030_drz.fits,HST,WFC3,F160W
2002dp,hst_15640_49_wfc3_ir_f160w_idxb49_drz.fits,HST,WFC3,F160W
2002dp,hst_15640_46_wfc3_ir_f160w_idxb46_drz.fits,HST,WFC3,F160W
2002dp,hst_15640_44_wfc3_ir_total_idxb44_drz.fits,HST,WFC3,detection
2002dp,idxb49030_drz.fits,HST,WFC3,F160W
2002dp,idxb48030_drz.fits,HST,WFC3,F160W
2002dp,hst_15640_49_wfc3_ir_total_idxb49_drz.fits,HST,WFC3,detection
2002dp,hst_15640_44_wfc3_ir_f160w_idxb44_drz.fits,HST,WFC3,F160W
2002dp,hst_15640_46_wfc3_ir_total_idxb46_drz.fits,HST,WFC3,detection
2002dp,hst_skycell-p1846x08y13_wfc3_ir_f160w_all_drz.fits,HST,WFC3,F160W
2002dj,HST_10182_e2_NIC_NIC3_F110W_drz.fits,HST,NICMOS,F110W
2002dj,HST_10182_e5_NIC_NIC3_F110W_drz.fits,HST,NICMOS,F110W
2002dj,HST_10182_e1_NIC_NIC3_F160W_drz.fits,HST,NICMOS,F160W
2002dj,HST_10182_e4_NIC_NIC3_F110W_drz.fits,HST,NICMOS,F110W
2002dj,HST_10182_e3_NIC_NIC3_F110W_drz.fits,HST,NICMOS,F110W
2002dj,HST_10182_e5_NIC_NIC3_F160W_drz.fits,HST,NICMOS,F160W
2002dj,HST_10182_e1_NIC_NIC3_F110W_drz.fits,HST,NICMOS,F110W
2002dj,HST_10182_e2_NIC_NIC3_F160W_drz.fits,HST,NICMOS,F160W
2002dj,HST_10182_e3_NIC_NIC3_F160W_drz.fits,HST,NICMOS,F160W
2002dj,HST_10182_e4_NIC_NIC3_F160W_drz.fits,HST,NICMOS,F160W
2002dj,hst_17446_22_wfc3_ir_total_if7r22_drz.fits,HST,WFC3,detection
2002dj,hst_17446_22_wfc3_ir_f110w_if7r22_drz.fits,HST,WFC3,F110W
2002dj,n90ze3030_mos.fits,HST,NICMOS,F160W
2002dj,n90ze4020_mos.fits,HST,NICMOS,F110W
2002dj,n90ze1020_mos.fits,HST,NICMOS,F110W
2002dj,n90ze2030_mos.fits,HST,NICMOS,F160W
2002dj,n90ze5020_mos.fits,HST,NICMOS,F110W
2002dj,if7r22010_drz.fits,HST,WFC3,F110W
2002dj,n90ze2020_mos.fits,HST,NICMOS,F110W
2002dj,n90ze5030_mos.fits,HST,NICMOS,F160W
2002dj,n90ze1030_mos.fits,HST,NICMOS,F160W
2002dj,n90ze3020_mos.fits,HST,NICMOS,F110W
2002dj,n90ze4030_mos.fits,HST,NICMOS,F160W
2008bf,hst_skycell-p1721x07y20_wfc3_ir_f160w_all_drz.fits,HST,WFC3,F160W
2008bf,hst_skycell-p1806x07y03_wfc3_ir_f160w_all_drz.fits,HST,WFC3,F160W
2008bf,hst_skycell-p1806x07y04_wfc3_ir_f110w_all_drz.fits,HST,WFC3,F110W
2008bf,hst_skycell-p1806x07y03_wfc3_ir_f160w_coarse-all_drz.fits,HST,WFC3,F160W
2008bf,hst_skycell-p1806x07y04_wfc3_ir_f160w_all_drz.fits,HST,WFC3,F160W
2008bf,hst_skycell-p1721x07y20_wfc3_ir_f110w_all_drz.fits,HST,WFC3,F110W
2008bf,hst_skycell-p1721x07y20_wfc3_ir_f110w_coarse-all_drz.fits,HST,WFC3,F110W
2008bf,hst_skycell-p1721x07y20_wfc3_ir_f160w_coarse-all_drz.fits,HST,WFC3,F160W
2008bf,hst_15909_08_wfc3_ir_f110w_ie4108_drz.fits,HST,WFC3,F110W
2008bf,hst_skycell-p1806x07y04_wfc3_ir_f110w_coarse-all_drz.fits,HST,WFC3,F110W
2008bf,hst_skycell-p1806x07y04_wfc3_ir_f160w_coarse-all_drz.fits,HST,WFC3,F160W
2008bf,hst_15909_08_wfc3_ir_total_ie4108_drz.fits,HST,WFC3,detection
2008bf,ie4108010_drz.fits,HST,WFC3,F160W
2008bf,hst_15909_08_wfc3_ir_f160w_ie4108_drz.fits,HST,WFC3,F160W
2008bf,ie4108020_drz.fits,HST,WFC3,F110W
2002bo,HST_11080_17_NIC_NIC3_F190N_drz.fits,HST,NICMOS,F190N
2002bo,HST_11080_17_NIC_NIC3_F187N_drz.fits,HST,NICMOS,F187N
2002bo,n9wu17010_mos.fits,HST,NICMOS,F187N
2002bo,n9wu17020_mos.fits,HST,NICMOS,F190N
2006kf,if7r29010_drz.fits,HST,WFC3,F110W
2006kf,hst_17446_29_wfc3_ir_f110w_if7r29_drz.fits,HST,WFC3,F110W
2006kf,hst_17446_29_wfc3_ir_total_if7r29_drz.fits,HST,WFC3,detection
2002G,hst_16234_70_wfc3_ir_f160w_ieel70_drz.fits,HST,WFC3,F160W
2002G,hst_15145_3b_wfc3_ir_f160w_idgg3b_drz.fits,HST,WFC3,F160W
2002G,hst_15145_3b_wfc3_ir_total_idgg3b_drz.fits,HST,WFC3,detection
2002G,hst_16234_70_wfc3_ir_total_ieel70_drz.fits,HST,WFC3,detection
2002G,hst_skycell-p2583x18y09_wfc3_ir_f160w_all_drz.fits,HST,WFC3,F160W
2002G,hst_15145_31_wfc3_ir_total_idgg31_drz.fits,HST,WFC3,detection
2002G,hst_15145_33_wfc3_ir_f160w_idgg33_drz.fits,HST,WFC3,F160W
2002G,hst_15145_33_wfc3_ir_total_idgg33_drz.fits,HST,WFC3,detection
2002G,hst_15145_31_wfc3_ir_f160w_idgg31_drz.fits,HST,WFC3,F160W
2002G,hst_15145_35_wfc3_ir_total_idgg35_drz.fits,HST,WFC3,detection
2002G,hst_16234_69_wfc3_ir_f160w_ieel69_drz.fits,HST,WFC3,F160W
2002G,hst_15145_37_wfc3_ir_f160w_idgg37_drz.fits,HST,WFC3,F160W
2002G,hst_16234_69_wfc3_ir_total_ieel69_drz.fits,HST,WFC3,detection
2002G,hst_15145_37_wfc3_ir_total_idgg37_drz.fits,HST,WFC3,detection
2002G,hst_15145_35_wfc3_ir_f160w_idgg35_drz.fits,HST,WFC3,F160W
2002G,hst_15145_39_wfc3_ir_f160w_idgg39_drz.fits,HST,WFC3,F160W
2002G,hst_15145_39_wfc3_ir_total_idgg39_drz.fits,HST,WFC3,detection
2003cg,HST_7331_98_NIC_NIC2_F160W_drz.fits,HST,NICMOS,F160W
2003cg,n3zd98010_mos.fits,HST,NICMOS,F160W
